LAT,LON,YEAR,DOY,T2M_MAX,T2M_MIN
12.75,-86.25,2015,253,34.08,21.1
12.75,-85.75,2015,253,32.56,21.27
12.75,-85.25,2015,253,32.55,22.27
12.75,-84.75,2015,253,33.05,23.22
12.75,-84.25,2015,253,32.66,24.01
13.25,-86.25,2015,253,32.74,19.66
13.25,-85.75,2015,253,32.16,20.43
13.25,-85.25,2015,253,32.97,21.92
13.25,-84.75,2015,253,33.8,23.17
13.25,-84.25,2015,253,33.48,24
13.75,-86.25,2015,253,32.42,19.67
13.75,-85.75,2015,253,32.42,20.36
13.75,-85.25,2015,253,32.87,21.6
13.75,-84.75,2015,253,33.54,22.77
13.75,-84.25,2015,253,33.61,23.69
14.25,-86.25,2015,253,32.66,19.96
14.25,-85.75,2015,253,32.91,20.66
14.25,-85.25,2015,253,33.06,21.72
14.25,-84.75,2015,253,33.24,22.62
14.25,-84.25,2015,253,33.16,23.36
14.75,-86.25,2015,253,32.78,19.72
14.75,-85.75,2015,253,32.64,20.27
14.75,-85.25,2015,253,32.82,21.46
14.75,-84.75,2015,253,32.97,22.54
14.75,-84.25,2015,253,32.7,23.44
12.75,-86.25,2015,254,34.04,23.57
12.75,-85.75,2015,254,33.17,22.85
12.75,-85.25,2015,254,33.68,23.11
12.75,-84.75,2015,254,34.38,23.75
12.75,-84.25,2015,254,33.81,24.37
13.25,-86.25,2015,254,33.3,21.95
13.25,-85.75,2015,254,32.84,22.11
13.25,-85.25,2015,254,34,22.97
13.25,-84.75,2015,254,34.94,23.83
13.25,-84.25,2015,254,34.28,24.4
13.75,-86.25,2015,254,33.56,21.51
13.75,-85.75,2015,254,33.4,22.17
13.75,-85.25,2015,254,33.63,22.96
13.75,-84.75,2015,254,34.12,23.56
13.75,-84.25,2015,254,34.09,24.04
14.25,-86.25,2015,254,33.75,21.44
14.25,-85.75,2015,254,33.85,22.41
14.25,-85.25,2015,254,33.72,23.04
14.25,-84.75,2015,254,33.69,23.39
14.25,-84.25,2015,254,33.56,23.71
14.75,-86.25,2015,254,33.89,20.81
14.75,-85.75,2015,254,33.54,21.58
14.75,-85.25,2015,254,33.62,22.6
14.75,-84.75,2015,254,33.71,23.34
14.75,-84.25,2015,254,33.34,23.75
12.75,-86.25,2015,255,33.42,21.57
12.75,-85.75,2015,255,32.09,21.64
12.75,-85.25,2015,255,31.78,22.68
12.75,-84.75,2015,255,32.48,23.75
12.75,-84.25,2015,255,32.53,24.6
13.25,-86.25,2015,255,31.88,19.85
13.25,-85.75,2015,255,31.49,20.69
13.25,-85.25,2015,255,31.67,22.23
13.25,-84.75,2015,255,32.29,23.56
13.25,-84.25,2015,255,32.31,24.49
13.75,-86.25,2015,255,31.72,19.82
13.75,-85.75,2015,255,31.71,20.46
13.75,-85.25,2015,255,31.33,21.6
13.75,-84.75,2015,255,31.16,22.8
13.75,-84.25,2015,255,30.95,23.98
14.25,-86.25,2015,255,31.96,20.06
14.25,-85.75,2015,255,31.8,20.57
14.25,-85.25,2015,255,31.15,21.55
14.25,-84.75,2015,255,30.48,22.56
14.25,-84.25,2015,255,29.91,23.65
14.75,-86.25,2015,255,32.08,19.8
14.75,-85.75,2015,255,31.35,20.36
14.75,-85.25,2015,255,30.83,21.48
14.75,-84.75,2015,255,30.42,22.69
14.75,-84.25,2015,255,29.98,23.85
12.75,-86.25,2015,256,31.04,22.78
12.75,-85.75,2015,256,30.2,21.88
12.75,-85.25,2015,256,30.64,22.38
12.75,-84.75,2015,256,30.9,23.14
12.75,-84.25,2015,256,30.33,23.92
13.25,-86.25,2015,256,30.61,21.1
