package,crop,adm0,adm1,adm2,season,variety_a,variety_b,variety_c,variety_d,rank_variety_a,rank_variety_b,rank_variety_c,rank_variety_d,planting_date,day,month,year,DOY,lon,lat,overall_performance,best,worst,overall_vs_local,var_a,var_b,var_c,yield,best_yield,worst_yield,soil,maxDT_VEG,minDT_VEG,maxNT_VEG,minNT_VEG,SU_VEG,TR_VEG,DTR_VEG,MLDS_VEG,MLWS_VEG,R5mm_VEG,R10mm_VEG,R20mm_VEG,SDII_VEG,Rx1day_VEG,Rx5day_VEG,Rtotal_VEG,maxDT_FLO,minDT_FLO,maxNT_FLO,minNT_FLO,SU_FLO,TR_FLO,DTR_FLO,MLDS_FLO,MLWS_FLO,R5mm_FLO,R10mm_FLO,R20mm_FLO,SDII_FLO,Rx1day_FLO,Rx5day_FLO,Rtotal_FLO,maxDT_GRA,minDT_GRA,maxNT_GRA,minNT_GRA,SU_GRA,TR_GRA,DTR_GRA,MLDS_GRA,MLWS_GRA,R5mm_GRA,R10mm_GRA,R20mm_GRA,SDII_GRA,Rx1day_GRA,Rx5day_GRA,Rtotal_GRA,maxDT_FLO_acc,minDT_FLO_acc,maxNT_FLO_acc,minNT_FLO_acc,SU_FLO_acc,TR_FLO_acc,DTR_FLO_acc,MLDS_FLO_acc,MLWS_FLO_acc,R5mm_FLO_acc,R10mm_FLO_acc,R20mm_FLO_acc,SDII_FLO_acc,Rx1day_FLO_acc,Rx5day_FLO_acc,Rtotal_FLO_acc,maxDT_GRA_acc,minDT_GRA_acc,maxNT_GRA_acc,minNT_GRA_acc,SU_GRA_acc,TR_GRA_acc,DTR_GRA_acc,MLDS_GRA_acc,MLWS_GRA_acc,R5mm_GRA_acc,R10mm_GRA_acc,R20mm_GRA_acc,SDII_GRA_acc,Rx1day_GRA_acc,Rx5day_GRA_acc,Rtotal_GRA_acc
paquete 121,commonbean,NIC,Tuma la Dalia,Verapaz,Apante-2015,INTA Rojo,PM2 Don Rey,INTA Ferroso,-9999,-9999,-9999,-9999,-9999,16787,18,12,2015,352,-85.73,13.14,Overall_performance-(A/B/C),C,A,Overall_performance_VS_Local-(Best/Worse),Worse,Worse,Better,Yield-(A/B/C),C,A,Humic Nitisols,26.33316673,25.79,15.83450578,15.50905259,0,0,10.25137144,18,2,0,1,0,0.590720425,10.10667229,14.76801062,14.76801062,28.49931742,26.42883999,15.70585975,15.31279746,0,0,12.07859298,6,1,4,0,0,1.530002906,16.53760338,16.53760338,44.37008429,31.08796345,28.61009698,16.25318538,15.55107423,7,0,13.84382954,7,1,0,0,0,0.27366271,3.709564209,3.709564209,6.841567755,28.49931742,25.79,15.83450578,15.31279746,0,0,11.25108691,18,2,4,1,0,1.095149906,16.53760338,16.53760338,59.1380949,31.08796345,25.79,16.25318538,15.31279746,7,0,12.00441857,18,2,4,1,0,0.868153456,16.53760338,16.53760338,65.97966266
paquete 436,commonbean,NIC,Waslala,Zinica 1,Apante-2015,BRT 103-182,INTA Matagalpa,PM2 Don Rey,-9999,-9999,-9999,-9999,-9999,16787,18,12,2015,352,-85.37,13.33,Overall_performance-(A/B/C),A,B,Overall_performance_VS_Local-(Best/Worse),Better,Worse,Worse,Yield-(A/B/C),A,C,Humic Nitisols,27.16713167,26.53139127,18.74464379,18.28079821,0,0,8.289769421,22,1,0,0,0,0,0,0,0,28.5812085,27.3030884,18.22540843,17.95,0,0,10.11036346,15,1,1,0,1,3.014482695,77.93579102,77.93579102,87.41999817,29.83943678,28.60638568,18.26693398,17.99727714,0,0,11.01435882,6,2,2,0,0,0.691840267,6.788991451,12.54440212,17.29600668,28.5812085,26.53139127,18.74464379,17.95,0,0,9.28673495,38,1,1,0,1,1.618888855,77.93579102,77.93579102,87.41999817,29.83943678,26.53139127,18.74464379,17.95,0,0,9.791872698,38,2,3,0,1,1.377842169,77.93579102,77.93579102,104.7160048
paquete 437,commonbean,NIC,Waslala,Zinica 1,Apante-2015,ALS 0532-6,INTA Ferroso,SJC 730-79,-9999,-9999,-9999,-9999,-9999,16787,18,12,2015,352,-85.37,13.33,Overall_performance-(A/B/C),B,A,Overall_performance_VS_Local-(Best/Worse),Worse,Worse,Worse,Yield-(A/B/C),B,C,Humic Nitisols,27.16713167,26.53139127,18.74464379,18.28079821,0,0,8.289769421,22,1,0,0,0,0,0,0,0,28.5812085,27.3030884,18.22540843,17.95,0,0,10.11036346,15,1,1,0,1,3.014482695,77.93579102,77.93579102,87.41999817,29.83943678,28.60638568,18.26693398,17.99727714,0,0,11.01435882,6,2,2,0,0,0.691840267,6.788991451,12.54440212,17.29600668,28.5812085,26.53139127,18.74464379,17.95,0,0,9.28673495,38,1,1,0,1,1.618888855,77.93579102,77.93579102,87.41999817,29.83943678,26.53139127,18.74464379,17.95,0,0,9.791872698,38,2,3,0,1,1.377842169,77.93579102,77.93579102,104.7160048
paquete 438,commonbean,NIC,Waslala,Zinica 1,Apante-2015,INTA Rojo,INTA Centro Sur,INTA Precoz,-9999,-9999,-9999,-9999,-9999,16787,18,12,2015,352,-85.36,13.33,Overall_performance-(A/B/C),C,A,Overall_performance_VS_Local-(Best/Worse),Worse,Worse,Better,Yield-(A/B/C),C,B,Humic Nitisols,26.75792988,26.27417382,18.66013801,18.28379709,0,0,8.032350548,22,1,0,0,0,0,0,0,0,27.69,26.83849683,18.21506527,17.95615442,0,0,9.327663531,15,1,1,0,1,3.014482695,77.93579102,77.93579102,87.41999817,28.7296643,27.67013428,18.22159269,18.01010444,0,0,9.895304178,6,2,2,0,0,0.691840267,6.788991451,12.54440212,17.29600668,27.69,26.27417382,18.66013801,17.95615442,0,0,8.742130548,38,1,1,0,1,1.618888855,77.93579102,77.93579102,87.41999817,28.7296643,26.27417382,18.66013801,17.95615442,0,0,9.077924098,38,2,3,0,1,1.377842169,77.93579102,77.93579102,104.7160048
paquete 440,commonbean,NIC,Waslala,Zinica 1,Apante-2015,SJC 730-79,INTA Matagalpa,INTA Ferroso,-9999,-9999,-9999,-9999,-9999,16789,20,12,2015,354,-85.37,13.33,Overall_performance-(A/B/C),B,A,Overall_performance_VS_Local-(Best/Worse),Worse,Better,Better,Yield-(A/B/C),-9999,C,Humic Nitisols,27.3030884,26.53390899,18.64400224,18.22540843,0,0,8.400221254,22,1,0,0,0,0,0,0,0,28.60638568,27.44812756,18.16820216,17.95,0,0,10.21988617,13,1,1,0,1,3.014482695,77.93579102,77.93579102,87.41999817,30.0380567,28.63156285,18.35179038,18.00231257,1,0,11.11865237,7,2,2,0,0,0.691840267,6.788991451,12.54440212,17.29600668,28.60638568,26.53390899,18.64400224,17.95,0,0,9.398302947,36,1,1,0,1,1.618888855,77.93579102,77.93579102,87.41999817,30.0380567,26.53390899,18.64400224,17.95,1,0,9.900103861,36,2,3,0,1,1.377842169,77.93579102,77.93579102,104.7160048
paquete 441,commonbean,NIC,Waslala,Zinica 1,Apante-2015,INTA Rojo,ALS 0532-6,INTA Centro Sur,-9999,-9999,-9999,-9999,-9999,16789,20,12,2015,354,-85.37,13.33,Overall_performance-(A/B/C),B,C,Overall_performance_VS_Local-(Best/Worse),Worse,Better,Worse,Yield-(A/B/C),B,C,Humic Nitisols,27.3030884,26.53390899,18.64400224,18.22540843,0,0,8.400221254,22,1,0,0,0,0,0,0,0,28.60638568,27.44812756,18.16820216,17.95,0,0,10.21988617,13,1,1,0,1,3.014482695,77.93579102,77.93579102,87.41999817,30.0380567,28.63156285,18.35179038,18.00231257,1,0,11.11865237,7,2,2,0,0,0.691840267,6.788991451,12.54440212,17.29600668,28.60638568,26.53390899,18.64400224,17.95,0,0,9.398302947,36,1,1,0,1,1.618888855,77.93579102,77.93579102,87.41999817,30.0380567,26.53390899,18.64400224,17.95,1,0,9.900103861,36,2,3,0,1,1.377842169,77.93579102,77.93579102,104.7160048
paquete 442,commonbean,NIC,Waslala,Zinica 1,Apante-2015,INTA Precoz,PM2 Don Rey,INTA Fuerte Sequia,-9999,-9999,-9999,-9999,-9999,16789,20,12,2015,354,-85.36,13.33,Overall_performance-(A/B/C),C,A,Overall_performance_VS_Local-(Best/Worse),Worse,Worse,Worse,Yield-(A/B/C),-9999,A,Humic Nitisols,26.83849683,26.28172697,18.57572921,18.21506527,0,0,8.118695873,22,1,0,0,0,0,0,0,0,27.69,26.93359567,18.16944797,17.95615442,0,0,9.391278544,13,1,1,0,1,3.014482695,77.93579102,77.93579102,87.41999817,28.93895188,27.67013428,18.29223797,18.01010444,0,0,10.00444237,7,2,2,0,0,0.691840267,6.788991451,12.54440212,17.29600668,27.69,26.28172697,18.57572921,17.95615442,0,0,8.81749586,36,1,1,0,1,1.618888855,77.93579102,77.93579102,87.41999817,28.93895188,26.28172697,18.57572921,17.95615442,0,0,9.161741415,36,2,3,0,1,1.377842169,77.93579102,77.93579102,104.7160048
paquete 444,commonbean,NIC,Waslala,Zinica 1,Apante-2015,SJC 730-79,INTA Centro Sur,ALS 0532-6,-9999,-9999,-9999,-9999,-9999,16787,18,12,2015,352,-85.37,13.33,Overall_performance-(A/B/C),B,C,Overall_performance_VS_Local-(Best/Worse),Worse,Better,Worse,Yield-(A/B/C),B,C,Humic Nitisols,27.16713167,26.53139127,18.74464379,18.28079821,0,0,8.289769421,22,1,0,0,0,0,0,0,0,28.5812085,27.3030884,18.22540843,17.95,0,0,10.11036346,15,1,1,0,1,3.014482695,77.93579102,77.93579102,87.41999817,29.83943678,28.60638568,18.26693398,17.99727714,0,0,11.01435882,6,2,2,0,0,0.691840267,6.788991451,12.54440212,17.29600668,28.5812085,26.53139127,18.74464379,17.95,0,0,9.28673495,38,1,1,0,1,1.618888855,77.93579102,77.93579102,87.41999817,29.83943678,26.53139127,18.74464379,17.95,0,0,9.791872698,38,2,3,0,1,1.377842169,77.93579102,77.93579102,104.7160048
paquete 445,commonbean,NIC,Waslala,Zinica 1,Apante-2015,PM2 Don Rey,INTA Fuerte Sequia,INTA Rojo,-9999,-9999,-9999,-9999,-9999,16787,18,12,2015,352,-85.36,13.34,Overall_performance-(A/B/C),C,A,Overall_performance_VS_Local-(Best/Worse),Worse,Worse,Worse,Yield-(A/B/C),C,A,Humic Nitisols,26.65221932,26.49295412,18.36126445,18.13603506,0,0,8.288401377,22,1,0,0,0,0,0,0,0,27.6412085,26.68746736,18.32917195,18.01167848,0,0,9.058187244,15,1,1,0,1,3.014482695,77.93579102,77.93579102,87.41999817,28.88034689,27.66638568,18.30113764,18.1500746,0,0,9.858640806,6,2,2,0,0,0.691840267,6.788991451,12.54440212,17.29600668,27.6412085,26.49295412,18.36126445,18.01167848,0,0,8.709396718,38,1,1,0,1,1.618888855,77.93579102,77.93579102,87.41999817,28.88034689,26.49295412,18.36126445,18.01167848,0,0,9.042183177,38,2,3,0,1,1.377842169,77.93579102,77.93579102,104.7160048
paquete 447,commonbean,NIC,Waslala,Zinica 1,Apante-2015,ALS 0532-6,SJC 730-79,INTA Matagalpa,-9999,-9999,-9999,-9999,-9999,16785,16,12,2015,350,-85.36,13.33,Overall_performance-(A/B/C),B,C,Overall_performance_VS_Local-(Best/Worse),Worse,Better,Worse,Yield-(A/B/C),B,C,Humic Nitisols,26.67736292,26.27417382,18.70545692,18.28379709,0,0,7.95874148,22,1,0,0,0,0,0,0,0,27.69,26.75792988,18.28556136,17.95615442,0,0,9.252838217,17,1,0,0,1,2.68744107,77.93579102,77.93579102,77.93579102,28.52321149,27.67013428,18.1677583,18.01010444,0,0,9.799895934,7,2,3,0,0,1.071208553,9.484207153,12.54440212,26.78021383,27.69,26.27417382,18.70545692,17.95615442,0,0,8.666315628,40,1,0,0,1,1.443255389,77.93579102,77.93579102,77.93579102,28.52321149,26.27417382,18.70545692,17.95615442,0,0,8.997665523,40,2,3,0,1,1.377842169,77.93579102,77.93579102,104.7160048
