F1,season,variety_a,variety_b,variety_c,year,best,worst,var_a,var_b,var_c,elevation,Tnmax,best1,worst1,middle1
1,Apante-2015,INTA Rojo,PM2 Don Rey,INTA Ferroso,2015,C,A,Worse,Worse,Better,711,15.78333333,,,
2,Apante-2015,BRT 103-182,INTA Matagalpa,PM2 Don Rey,2015,A,B,Better,Worse,Worse,382,18.23,,,
3,Apante-2015,ALS 0532-6,INTA Ferroso,SJC 730-79,2015,B,A,Worse,Worse,Worse,382,18.23,,,
4,Apante-2015,INTA Rojo,INTA Centro Sur,INTA Precoz,2015,C,A,Worse,Worse,Better,446,18.38333333,,,
5,Apante-2015,SJC 730-79,INTA Matagalpa,INTA Ferroso,2015,B,A,Worse,Better,Better,382,18.23,,,
6,Apante-2015,INTA Rojo,ALS 0532-6,INTA Centro Sur,2015,B,C,Worse,Better,Worse,382,18.23,,,
7,Apante-2015,INTA Precoz,PM2 Don Rey,INTA Fuerte Sequia,2015,C,A,Worse,Worse,Worse,446,18.38333333,,,
8,Apante-2015,SJC 730-79,INTA Centro Sur,ALS 0532-6,2015,B,C,Worse,Better,Worse,382,18.23,,,
9,Apante-2015,PM2 Don Rey,INTA Fuerte Sequia,INTA Rojo,2015,C,A,Worse,Worse,Worse,411,18.23666667,,,
10,Apante-2015,ALS 0532-6,SJC 730-79,INTA Matagalpa,2015,B,C,Worse,Better,Worse,446,18.38333333,,,
11,Apante-2015,PM2 Don Rey,INTA Centro Sur,INTA Rojo,2015,B,A,Worse,Better,Worse,382,18.23,,,
12,Apante-2015,BRT 103-182,INTA Fuerte Sequia,INTA Ferroso,2015,C,B,Worse,Better,Worse,576,17.87666667,,,
13,Apante-2015,INTA Precoz,SJC 730-79,INTA Matagalpa,2015,B,C,Worse,Worse,Better,382,18.23,,,
14,Apante-2015,INTA Rojo,INTA Matagalpa,SJC 730-79,2015,B,C,Worse,Better,Worse,410,18.17,,,
15,Apante-2015,PM2 Don Rey,ALS 0532-6,INTA Matagalpa,2015,B,A,Worse,Better,Worse,682,15.61,,,
16,Apante-2015,INTA Centro Sur,BRT 103-182,INTA Fuerte Sequia,2015,C,A,Worse,Worse,Better,839,16.06333333,,,
17,Apante-2015,ALS 0532-6,INTA Rojo,INTA Matagalpa,2015,A,C,Better,Worse,Worse,729,16.17,,,
18,Apante-2015,BRT 103-182,SJC 730-79,PM2 Don Rey,2015,C,B,Worse,Worse,Better,1074,15.36333333,,,
19,Apante-2015,SJC 730-79,INTA Rojo,INTA Precoz,2015,B,C,Worse,Better,Worse,297,18.54333333,,,
20,Apante-2015,PM2 Don Rey,SJC 730-79,ALS 0532-6,2015,A,C,Better,Worse,Worse,600,17.79,,,
21,Apante-2015,ALS 0532-6,INTA Centro Sur,INTA Matagalpa,2015,C,A,Worse,Worse,Better,711,15.78333333,,,
